city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.754,0,1,0,0,0,1,5,0,1,41,0.0
0.92,0,1,0,1,0,1,2,2,10,87,1.0
0.855,0,1,0,1,0,10,1,0,4,114,0.0
0.698,0,1,0,1,0,1,1,0,10,33,0.0
0.698,0,1,2,1,0,5,5,3,1,15,0.0
0.91,0,0,1,2,0,3,5,3,1,8,0.0
0.878,1,1,2,2,0,2,1,4,1,22,0.0
0.92,0,1,0,1,0,1,7,0,4,13,0.0
0.949,0,1,0,0,0,1,5,2,1,246,0.0
0.92,0,1,0,1,0,9,3,0,1,22,0.0
0.92,0,1,0,1,0,1,5,1,1,81,0.0
0.7759999999999999,0,1,1,0,0,4,3,1,1,11,0.0
0.698,0,0,1,0,0,5,7,1,1,24,1.0
0.92,0,1,0,0,0,1,1,1,1,50,0.0
0.924,0,0,1,2,0,6,1,1,0,15,0.0
0.939,0,1,0,1,0,1,3,0,10,31,0.0
0.926,0,1,0,1,0,1,0,0,0,84,0.0
0.897,0,1,2,0,0,4,2,0,1,42,0.0
0.624,0,1,0,0,0,10,3,0,10,105,1.0
0.92,1,1,0,0,0,1,0,0,10,72,0.0
0.789,0,1,0,0,0,14,3,0,10,42,1.0
0.698,0,1,0,0,0,15,0,3,1,152,0.0
0.92,0,1,0,0,0,12,2,0,1,60,0.0
0.624,0,0,1,1,0,2,2,0,0,8,0.0
0.91,0,0,1,1,0,13,2,0,3,17,1.0
0.923,0,0,0,2,0,1,2,0,1,33,0.0
0.91,0,1,0,1,0,4,1,1,0,38,0.0
0.92,0,1,0,0,1,14,5,3,2,178,0.0
0.92,0,1,0,0,0,15,0,0,1,11,0.0
0.893,0,1,0,2,0,1,0,0,0,87,0.0
0.802,0,1,0,0,0,13,0,0,0,84,0.0
0.884,0,1,0,0,0,1,1,3,2,32,0.0
0.887,0,1,0,1,0,9,1,0,1,31,1.0
0.624,0,0,0,0,0,2,6,2,1,39,0.0
0.775,0,1,0,0,0,7,3,0,1,12,0.0
0.624,0,1,1,0,0,5,2,0,1,50,0.0
0.903,0,1,0,0,0,3,1,0,1,55,1.0
0.55,0,1,0,0,0,5,0,0,1,7,1.0
0.92,0,1,0,1,1,2,0,3,1,104,0.0
0.92,0,1,1,0,3,1,0,3,10,90,1.0
0.92,0,1,0,1,2,1,1,0,10,8,0.0
0.624,0,0,1,0,0,2,1,0,0,102,0.0
0.624,0,1,0,1,0,0,3,0,1,202,1.0
0.555,0,1,0,0,0,4,1,0,1,22,0.0
0.624,0,0,1,0,0,3,1,0,0,42,0.0
0.92,0,0,0,4,0,4,1,0,0,50,0.0
0.624,0,1,0,1,0,3,0,1,1,88,0.0
0.754,0,1,0,0,0,5,4,0,4,81,0.0
0.92,0,1,0,1,0,1,2,0,1,7,0.0
0.624,0,0,0,1,0,3,2,0,0,218,0.0
0.91,0,1,0,0,0,1,2,0,10,62,0.0
0.92,0,1,0,0,0,6,0,0,1,83,0.0
0.939,0,1,0,0,0,9,4,0,10,11,0.0
0.926,0,0,2,3,0,1,0,0,10,10,0.0
0.939,0,1,0,1,0,10,4,0,1,114,0.0
0.624,0,1,0,1,0,3,0,0,1,36,0.0
0.804,0,0,0,1,0,6,3,0,1,17,0.0
0.91,0,0,1,0,0,2,3,0,0,80,1.0
0.92,0,1,2,0,0,1,0,2,10,108,0.0
0.92,0,1,0,0,0,2,1,0,2,45,0.0
0.92,0,0,1,0,0,5,1,0,0,77,0.0
0.926,0,1,0,1,0,15,1,0,2,8,0.0
0.878,0,0,0,0,0,5,1,0,1,28,0.0
0.727,1,1,0,0,0,9,1,1,10,37,0.0
0.91,1,0,1,0,0,2,1,1,2,108,1.0
0.92,0,1,0,0,0,13,6,0,2,162,0.0
0.754,0,1,1,2,0,9,6,0,10,41,0.0
0.903,0,1,0,1,0,19,1,0,4,4,0.0
0.884,1,0,0,3,0,3,4,2,1,41,0.0
0.903,1,1,0,0,0,17,2,0,2,12,0.0
0.92,0,1,0,0,0,1,0,0,1,190,0.0
0.624,0,1,0,0,0,7,0,0,10,29,1.0
0.92,0,1,0,0,0,6,1,2,1,11,0.0
0.92,0,0,1,2,0,3,2,0,1,30,0.0
0.92,0,1,0,1,0,13,1,0,10,39,0.0
0.804,0,1,1,2,0,9,1,0,1,16,0.0
0.926,0,0,0,0,0,1,0,0,10,5,0.0
0.698,0,0,1,2,0,8,0,0,0,39,0.0
0.926,0,1,0,1,0,10,0,0,10,29,0.0
0.624,0,1,1,1,0,4,0,4,2,210,0.0
0.92,2,0,2,2,0,6,0,1,1,54,0.0
0.92,0,1,0,0,0,9,0,0,3,44,0.0
0.91,0,1,0,0,0,15,0,0,10,47,0.0
0.92,0,1,0,0,0,1,4,4,10,74,0.0
0.624,0,1,0,1,0,6,3,0,1,8,1.0
0.624,0,0,1,0,0,7,3,0,0,20,1.0
0.92,0,1,0,0,0,3,6,0,1,162,0.0
0.893,0,0,0,0,3,2,0,0,1,110,0.0
0.762,2,1,2,2,3,3,3,0,1,262,0.0
0.836,0,1,0,1,0,14,3,0,1,6,0.0
0.6659999999999999,0,1,2,0,0,9,3,0,1,19,1.0
0.6659999999999999,2,0,0,0,0,1,0,0,10,23,1.0
0.624,0,0,0,0,0,0,0,0,1,107,1.0
0.897,0,1,0,1,0,15,2,0,10,134,0.0
0.926,0,1,0,1,0,11,3,3,1,40,0.0
0.884,0,1,0,0,0,12,0,0,1,11,0.0
0.92,0,1,0,0,0,11,0,0,3,102,0.0
0.624,0,0,1,0,0,2,0,0,0,100,0.0
0.923,0,0,0,1,0,3,2,0,0,30,0.0
0.92,0,0,0,2,0,5,2,0,1,20,1.0
0.92,0,1,0,0,0,14,4,0,3,4,0.0
0.91,0,0,0,4,0,5,4,0,0,15,0.0
0.624,0,0,0,0,0,0,4,0,1,14,1.0
0.923,0,0,0,4,0,1,4,0,0,103,0.0
0.92,0,1,2,0,0,5,4,2,2,40,0.0
0.91,0,1,0,3,0,1,1,0,2,27,0.0
0.926,0,0,0,2,0,10,1,0,10,46,0.0
0.926,0,1,0,2,0,7,0,0,10,110,0.0
0.92,0,1,0,0,0,13,0,1,1,96,0.0
0.92,0,1,0,0,0,5,2,0,2,57,0.0
0.92,0,1,1,0,0,6,2,0,1,240,0.0
0.949,0,1,0,0,0,4,0,1,4,42,0.0
0.939,0,1,0,1,0,7,0,1,1,16,1.0
0.64,0,1,0,0,0,1,0,0,0,40,1.0
0.92,0,1,0,0,0,5,1,1,2,94,0.0
0.794,0,0,0,0,0,9,7,0,1,160,0.0
0.878,0,0,2,0,0,10,3,3,1,25,0.0
0.516,0,1,0,0,0,9,5,3,1,11,0.0
0.878,0,1,0,2,0,0,1,0,1,29,0.0
0.698,0,1,0,0,0,8,1,0,1,23,0.0
0.727,0,1,0,0,0,10,3,0,2,113,0.0
0.754,0,1,0,0,0,15,3,0,2,56,0.0
0.924,0,0,1,0,0,2,3,0,1,39,1.0
0.92,0,0,0,0,0,2,4,0,1,20,0.0
0.92,0,1,1,0,0,1,2,0,1,40,0.0
0.92,0,1,0,1,0,1,5,0,10,56,0.0
0.555,0,0,1,0,0,4,5,0,1,106,0.0
0.926,0,1,2,0,0,19,6,0,2,64,0.0
0.754,0,1,0,0,0,5,2,0,1,51,0.0
0.855,1,1,1,0,0,6,4,0,2,41,0.0
0.92,1,1,0,0,0,20,1,0,10,150,0.0
0.579,0,1,0,0,0,4,3,0,1,320,0.0
0.897,0,1,0,1,0,7,3,0,0,20,0.0
0.624,0,0,1,1,0,4,4,0,1,9,1.0
0.804,0,1,1,0,0,9,7,0,1,74,0.0
0.624,0,1,0,1,0,3,7,2,1,129,1.0
0.855,1,1,0,1,0,10,7,2,1,42,0.0
0.913,1,0,0,2,0,2,1,0,0,58,0.0
0.92,0,0,1,2,0,3,1,0,1,126,1.0
0.92,0,0,0,2,0,4,1,0,1,45,1.0
0.923,0,1,0,0,0,1,3,0,10,166,0.0
0.913,0,1,0,0,0,2,0,0,1,110,0.0
0.92,0,1,1,0,0,1,0,0,1,37,0.0
0.804,1,1,2,0,0,2,0,0,1,95,1.0
0.92,0,1,0,0,0,1,0,0,10,29,1.0
0.926,0,1,0,1,0,1,0,0,10,31,0.0
0.743,0,0,1,1,0,11,0,0,10,97,0.0
0.926,0,0,0,4,0,3,0,0,0,16,0.0
0.92,0,0,0,4,0,4,0,0,0,14,0.0
0.804,0,1,0,3,0,1,1,0,10,206,0.0
0.92,1,1,0,0,0,2,3,1,1,204,0.0
0.92,0,1,0,1,0,18,2,0,2,116,0.0
0.804,0,1,0,1,0,16,1,0,4,161,0.0
0.92,0,1,0,0,0,1,1,0,10,25,1.0
0.92,0,1,0,0,0,18,6,0,10,94,0.0
0.92,0,1,0,0,0,15,2,0,10,16,0.0
0.698,0,1,1,1,0,15,2,0,1,100,0.0
0.92,0,1,0,0,0,20,2,0,0,107,0.0
0.769,0,1,2,1,0,11,2,0,1,17,0.0
0.91,0,1,0,0,0,10,5,0,1,140,0.0
0.939,0,1,0,0,1,3,2,0,2,75,0.0
0.939,0,1,0,2,1,6,2,0,1,59,0.0
0.899,0,1,0,2,1,6,0,0,1,146,0.0
0.865,0,0,0,2,1,3,0,0,0,302,0.0
0.855,1,1,0,1,0,9,1,0,2,42,1.0
0.92,1,1,0,0,5,14,1,0,1,131,0.0
0.698,1,1,2,2,5,9,1,0,4,74,0.0
0.91,1,1,0,0,0,7,2,0,1,22,0.0
0.804,1,0,0,0,0,3,2,0,0,53,1.0
0.913,0,1,0,1,0,1,6,0,10,143,0.0
0.855,1,1,0,0,0,14,0,0,2,72,0.0
0.92,0,1,0,2,0,11,6,0,1,7,0.0
0.897,0,0,1,0,0,3,0,3,1,182,0.0
0.915,0,1,0,0,0,15,0,0,4,50,0.0
0.887,0,1,0,2,0,2,0,2,1,82,0.0
0.91,0,1,0,0,0,2,2,0,1,58,0.0
0.924,0,1,0,0,0,9,3,0,1,94,0.0
0.624,0,1,0,0,0,4,5,0,2,60,1.0
0.802,0,1,1,1,0,5,1,0,4,124,0.0
0.6890000000000001,0,0,0,4,0,2,1,0,2,46,0.0
0.698,0,0,1,1,0,3,1,4,2,57,1.0
0.92,1,1,0,0,0,9,0,0,1,17,0.0
0.92,1,1,0,0,0,14,7,0,10,101,0.0
0.698,0,0,0,4,0,3,7,0,0,31,0.0
0.897,0,1,0,0,0,1,7,0,1,36,0.0
0.893,0,1,2,0,0,15,7,0,4,198,0.0
0.91,0,0,0,1,0,5,2,0,0,31,0.0
0.55,0,1,0,1,0,9,0,0,1,12,0.0
0.92,0,1,0,0,0,1,0,1,1,31,0.0
0.92,0,1,0,0,0,20,0,1,10,26,1.0
0.92,0,1,0,0,0,6,0,0,1,55,0.0
0.624,0,1,0,0,0,11,0,0,10,8,1.0
0.91,0,1,0,2,0,1,1,0,10,38,0.0
0.899,0,1,0,0,1,16,1,0,2,8,0.0
0.878,0,1,0,1,0,1,4,0,3,32,1.0
0.7759999999999999,0,1,2,0,0,18,1,1,10,51,0.0
0.804,0,1,1,0,0,9,7,0,2,22,0.0
0.926,0,1,1,2,0,7,7,0,1,17,0.0
0.91,0,0,1,2,0,3,7,0,0,24,0.0
0.899,0,1,0,0,0,5,3,1,1,19,0.0
0.624,0,1,1,1,0,9,0,0,2,46,1.0
0.91,1,1,0,0,0,13,0,0,10,15,0.0
0.92,0,1,0,1,0,1,0,0,10,23,1.0
0.893,0,1,0,0,0,1,1,0,10,38,0.0
0.624,0,0,1,1,0,4,1,0,0,46,1.0
0.804,0,0,1,0,3,0,1,0,0,214,0.0
0.92,0,1,0,0,0,1,4,2,10,52,0.0
0.92,1,0,0,0,0,0,4,2,0,22,1.0
0.926,0,1,0,1,0,15,1,0,2,65,0.0
0.92,0,1,1,0,5,14,0,0,1,64,0.0
0.92,0,1,0,0,0,7,7,0,4,86,0.0
0.887,0,0,1,0,0,4,7,0,1,52,1.0
0.897,0,1,0,1,0,14,7,0,10,21,0.0
0.926,0,0,0,0,0,3,4,2,1,86,0.0
0.897,0,0,1,1,0,5,4,2,4,288,1.0
0.91,0,1,0,1,0,1,1,0,10,53,0.0
0.939,0,1,0,0,0,17,0,0,1,60,0.0
0.91,0,1,0,1,0,18,0,0,10,178,0.0
0.939,0,1,0,3,0,1,0,0,2,166,0.0
0.924,0,1,0,3,1,1,0,0,1,62,0.0
0.624,0,1,1,0,0,7,2,0,1,35,0.0
0.92,0,1,0,0,0,17,1,0,10,106,0.0
0.836,0,0,0,0,0,6,5,0,0,58,0.0
0.91,0,1,0,1,0,6,0,1,1,72,0.0
0.92,0,1,0,2,0,18,2,0,1,80,0.0
0.939,0,1,0,1,0,16,7,4,2,166,0.0
0.895,0,1,0,1,0,1,1,0,1,25,0.0
0.92,0,1,0,0,3,1,2,0,0,109,0.0
0.884,0,1,0,0,0,1,5,3,1,37,0.0
0.55,0,0,1,0,0,4,5,3,0,55,1.0
0.92,0,0,1,0,0,3,5,3,0,32,0.0
0.89,0,0,0,0,0,9,0,0,3,51,0.0
0.92,0,1,0,0,0,16,0,1,1,84,0.0
0.926,0,1,0,0,0,1,6,4,1,72,0.0
0.887,0,1,0,2,0,1,1,0,1,47,0.0
0.855,0,0,1,0,0,12,1,0,4,47,0.0
0.754,0,1,1,2,0,6,5,1,2,20,0.0
0.624,0,1,0,0,0,8,5,1,1,198,1.0
0.92,0,0,0,0,2,2,4,2,1,64,0.0
0.8959999999999999,0,1,0,1,0,15,2,0,10,23,1.0
0.884,0,0,1,1,0,14,1,2,3,96,0.0
0.624,0,0,0,2,0,2,1,0,0,306,0.0
0.754,0,1,0,0,0,9,5,4,1,8,0.0
0.762,0,1,0,0,0,1,1,0,1,48,0.0
0.624,0,1,0,0,0,8,3,0,1,98,1.0
0.926,0,0,0,3,0,7,6,4,0,46,0.0
0.92,0,0,1,0,0,1,6,4,1,53,1.0
0.92,0,1,0,0,4,1,5,0,1,102,0.0
0.92,0,0,1,0,0,4,5,0,1,76,0.0
0.92,0,0,0,4,0,1,5,0,0,43,0.0
0.92,0,0,0,0,0,1,0,0,10,32,0.0
0.855,0,1,0,0,0,5,0,0,1,54,0.0
0.767,0,1,1,1,0,8,3,0,1,7,0.0
0.884,1,1,0,1,0,3,3,0,2,322,1.0
0.847,1,1,0,1,0,1,6,0,0,96,0.0
0.92,1,1,1,0,0,4,7,0,1,7,0.0
0.91,0,1,0,0,0,16,3,0,1,53,0.0
0.855,0,1,0,0,0,10,3,1,1,161,0.0
0.897,0,0,0,1,0,8,3,0,1,11,0.0
0.8270000000000001,0,1,0,0,0,9,1,2,2,6,0.0
0.624,0,0,1,0,0,1,0,2,1,72,1.0
0.794,1,1,0,1,1,6,0,0,1,182,0.0
0.939,0,1,0,0,0,1,7,0,10,67,0.0
0.527,1,0,0,0,0,1,7,0,1,50,0.0
0.884,1,0,2,0,0,5,1,0,1,16,0.0
0.91,0,1,0,0,0,1,2,0,10,38,0.0
0.92,2,1,0,0,4,5,3,3,1,98,0.0
0.698,0,0,2,0,0,4,3,3,2,7,1.0
0.92,0,0,1,0,0,2,3,3,1,88,0.0
0.884,0,1,0,1,0,4,1,0,2,112,0.0
0.7659999999999999,2,1,1,0,0,15,7,0,0,30,1.0
0.738,2,1,0,0,0,9,0,1,1,9,0.0
0.855,2,0,1,2,0,4,2,0,1,36,0.0
0.91,0,1,0,0,0,19,1,0,4,24,0.0
0.92,0,1,0,1,1,2,2,4,1,28,0.0
0.878,0,1,2,0,0,10,0,2,1,166,0.0
0.624,0,1,1,1,0,10,0,0,2,61,1.0
0.762,0,1,0,0,0,1,0,2,3,24,0.0
0.91,0,0,1,0,0,10,0,2,1,8,1.0
0.903,0,1,0,0,0,9,0,2,1,133,0.0
0.855,0,1,0,0,0,14,0,2,10,143,0.0
0.878,0,1,0,0,0,1,3,0,10,29,0.0
0.92,0,1,0,0,0,7,2,0,1,53,0.0
0.92,0,1,0,0,0,9,2,2,10,11,1.0
0.624,0,1,0,0,0,4,0,2,1,7,0.0
0.762,0,1,0,0,0,8,0,0,10,87,0.0
0.92,0,1,0,0,0,8,3,1,1,18,0.0
0.8270000000000001,0,1,0,0,4,9,4,0,1,76,1.0
0.624,0,1,0,0,0,6,2,0,1,114,0.0
0.92,0,0,1,2,0,5,2,0,1,56,0.0
0.91,0,1,0,0,0,7,0,0,10,30,0.0
0.923,0,1,0,0,0,1,6,0,10,80,0.0
0.7759999999999999,0,1,1,0,0,14,4,0,0,52,0.0
0.624,1,1,0,0,0,0,0,0,1,13,0.0
0.767,1,1,0,0,0,4,1,2,0,42,0.0
0.767,1,1,2,1,0,6,0,0,1,56,1.0
0.624,0,0,0,4,0,2,0,0,0,12,1.0
0.836,0,1,0,1,1,2,1,0,1,36,0.0
0.926,0,1,0,1,0,1,4,0,10,67,0.0
0.624,0,1,0,0,0,8,0,0,1,13,1.0
0.92,0,1,0,0,0,9,0,0,1,100,0.0
0.91,0,1,0,3,0,15,2,0,1,58,0.0
0.624,0,1,0,0,0,7,1,0,1,18,1.0
0.624,0,1,0,1,0,2,2,0,2,90,1.0
0.64,0,0,0,1,0,6,2,0,1,59,0.0
0.804,0,1,0,1,0,2,2,0,2,35,0.0
0.802,0,1,1,0,0,0,2,0,2,11,0.0
0.624,0,1,0,0,0,4,2,0,2,15,1.0
0.92,0,1,0,0,2,10,0,0,10,206,0.0
0.647,0,1,0,1,0,9,0,0,1,130,0.0
0.92,0,0,0,1,0,1,0,0,0,30,0.0
0.939,0,1,0,1,0,1,2,0,10,88,0.0
0.624,0,0,0,1,3,0,2,0,1,18,0.0
0.624,0,1,0,0,0,8,3,0,1,41,0.0
0.926,0,1,2,1,0,14,2,0,2,16,0.0
0.924,0,1,0,0,0,1,4,0,10,95,0.0
0.624,0,0,0,0,0,6,4,2,1,53,0.0
0.92,0,1,0,0,0,1,4,2,10,220,1.0
0.855,0,1,0,1,0,1,0,0,2,21,0.0
0.795,0,1,0,1,0,1,1,2,10,94,0.0
0.92,0,1,0,0,5,17,3,0,3,20,0.0
0.5579999999999999,0,0,0,0,0,8,3,0,0,47,1.0
0.92,0,1,0,0,0,1,3,0,2,60,0.0
0.624,0,1,0,0,0,6,2,0,4,78,1.0
0.92,0,0,0,0,0,4,2,2,1,5,0.0
